,iso3c,Medicine,Form,Dose,generic.adj,UK.adj,SA.adj,India.adj
1,AFG,amikacin,powder,1000 mg,NA,21.81789949,0.503560416,0.247202386
2,AFG,amikacin,powder,100 mg,NA,2.179043256,0.30213625,0.04577822
3,AFG,amikacin,powder,500 mg,NA,10.91352757,0.25635803,0.128179015
4,AFG,ampicillin,powder,1000 mg,0.589760804,18.64089105,1.107832916,0.119023371
5,AFG,ampicillin,powder,500 mg,0.571834053,9.320445524,0.55849428,0.054933864
6,AFG,cefazolin,powder,1000 mg,0.738988644,NA,0.485249128,0.238046742
7,AFG,cefotaxime,powder,250 mg,0.587233846,1.199389355,0.137334659,0.054933864
8,AFG,ceftazidime,powder,1000 mg,1.079111661,0.906408749,1.620548976,0.329603182
9,AFG,ceftazidime,powder,250 mg,0.685217548,1.620548976,0.402848333,0.329603182
10,AFG,ceftriaxone,powder,1000 mg,0.785883853,0.585961212,0.402848333,0.137334659
11,AFG,ceftriaxone,powder,250 mg,0.611908307,1.309257083,0.247202386,0.073245151
12,AFG,chloramphenicol,ampoule,2mL/1000mg,0.415391565,NA,NA,0.128179015
13,AFG,chloramphenicol,powder,1000 mg,0.74774144,1.657171552,NA,0.128179015
14,AFG,ciprofloxacin,solution,2 mg,0.554539042,0.009155644,NA,0
15,AFG,clindamycin,injection,1mL/150mg,NA,0.338758826,NA,1.107832916
16,AFG,cloxacillin,powder,500 mg,0.569371185,NA,0.81485231,0.109867727
17,AFG,dactinomycin,powder,500 mcg,NA,NA,NA,5.374362989
18,AFG,erythromycin,powder,500 mg,NA,10.18107605,NA,NA
19,AFG,fluconazole,vial,1mL/2mg,0.554264372,0.009155644,NA,0
20,AFG,gentamicin,vial,2ml/20mg,NA,1.309257083,NA,0.036622576
21,AFG,gentamicin,vial,2ml/80mg,NA,0.714140227,0.21057981,0.036622576
22,AFG,imipenem/cilastatin,powder,500mg/500mg,NA,3.021362498,2.856560907,10.85859371
23,AFG,imipenem/cilastatin,powder,250mg/250mg,NA,NA,1.428280454,7.782297344
24,AFG,kanamycin,powder,1g,NA,NA,NA,0.393692689
25,AFG,streptomycin,powder,1000mg,NA,NA,0.265513674,0.054933864
26,AFG,streptomycin,powder,1000mg,NA,NA,0.265513674,0.054933864
27,AFG,sulfamethoxazole/trimethoprim,ampoule,5ml/400mg+80mg,0.229596083,2.114953749,NA,NA
28,AFG,sulfamethoxazole/trimethoprim,ampoule,10mL/800mg+160mg,0.237616427,4.229907497,NA,NA
29,AFG,vancomycin,powder,250mg,0.831121889,0.659206363,0.805696666,0.25635803
30,AFG,metronidazole,vial,100mL/500mg,0.561424086,0.430315265,0.082400795,0.005639877
31,AGO,amikacin,powder,forinjection1000mg,NA,22.99037311,0.530621284,0.260486812
32,AGO,amikacin,powder,forinjection100mg,NA,2.296143013,0.318372771,0.048238299
33,AGO,amikacin,powder,forinjection500mg,NA,11.50001038,0.270134472,0.135067236
34,AGO,ampicillin,powder,forinjection1000mg,0.621454001,19.64263518,1.167366826,0.125419576
35,AGO,ampicillin,powder,forinjection500mg,0.602563883,9.821317592,0.588507243,0.057885958
36,AGO,cefazolin,powder,forinjection1000mg,0.778701206,NA,0.511325965,0.250839153
37,AGO,cefotaxime,powder,forinjection250mg,0.618791247,1.263843423,0.144714896,0.057885958
38,AGO,ceftazidime,powder,forinjection1000mg,1.137102117,0.955118312,1.70763577,0.34731575
39,AGO,ceftazidime,powder,forinjection250mg,0.722040501,1.70763577,0.424497028,0.34731575
40,AGO,ceftriaxone,powder,forinjection1000mg,0.828116519,0.617450222,0.424497028,0.144714896
41,AGO,ceftriaxone,powder,forinjection250mg,0.64479169,1.37961534,0.260486812,0.077181278
42,AGO,chloramphenicol,2,mlampoule1000mg,0.437714321,NA,NA,0.135067236
43,AGO,chloramphenicol,powder,forinjection1000mg,0.787924369,1.746226409,NA,0.135067236
44,AGO,ciprofloxacin,2,mg,0.584339454,0.00964766,NA,0
45,AGO,clindamycin,1,mlinjection150mg,NA,0.35696341,NA,1.167366826
46,AGO,cloxacillin,powder,forinjection500mg,0.599968662,NA,0.858641715,0.115771917
47,AGO,dactinomycin,powder,forinjection500mcg,NA,NA,NA,5.663176254
48,AGO,erythromycin,powder,forinjection500mg,NA,10.72819761,NA,NA
49,AGO,fluconazole,1,mlvial2mg,0.584050024,0.00964766,NA,0
50,AGO,gentamicin,2,mlvial20mg,NA,1.37961534,NA,0.038590639
51,AGO,gentamicin,2,mlvial80mg,NA,0.752517458,0.221896173,0.038590639
52,AGO,imipenem/cilastatin,powder,forinjection500mg/500mg,NA,3.183727707,3.010069832,11.44212442
53,AGO,imipenem/cilastatin,powder,forinjection250mg/250mg,NA,NA,1.505034916,8.200510759
54,AGO,kanamycin,powder,forinjection1g,NA,NA,NA,0.414849368
55,AGO,streptomycin,powder,forinjection1000mg,NA,NA,0.279782132,0.057885958
56,AGO,streptomycin,powder,forinjection1000mg,NA,NA,0.279782132,0.057885958
57,AGO,sulfamethoxazole/trimethoprim,5,mlampoule400mg+80mg,0.241934363,2.228609395,NA,NA
58,AGO,sulfamethoxazole/trimethoprim,10ml,ampoule800mg+160mg,0.250385713,4.457218789,NA,NA
59,AGO,vancomycin,powder,forinjection250mg,0.875785606,0.6946315,0.848994055,0.270134472
60,AGO,metronidazole,100ml,vial500mg,0.591594494,0.453440007,0.086828937,0.005942958
61,ALB,amikacin,powder,forinjection1000mg,NA,27.79814236,0.641585325,0.314960069
62,ALB,amikacin,powder,forinjection100mg,NA,2.776314679,0.384951195,0.058325939
63,ALB,amikacin,powder,forinjection500mg,NA,13.90490377,0.326625256,0.163312628
64,ALB,ampicillin,powder,forinjection1000mg,0.751413068,23.75032221,1.411487715,0.15164744
65,ALB,ampicillin,powder,forinjection500mg,0.72857263,11.87516111,0.711576451,0.069991126
66,ALB,cefazolin,powder,forinjection1000mg,0.941543962,NA,0.61825495,0.303294881
67,ALB,cefotaxime,powder,forinjection250mg,0.748193476,1.528139592,0.174977816,0.069991126
68,ALB,ceftazidime,powder,forinjection1000mg,1.374894021,1.154853585,2.064738228,0.419946758
69,ALB,ceftazidime,powder,forinjection250mg,0.873034315,2.064738228,0.51326826,0.419946758
70,ALB,ceftriaxone,powder,forinjection1000mg,1.001293054,0.746572015,0.51326826,0.174977816
71,ALB,ceftriaxone,powder,forinjection250mg,0.779631157,1.668121845,0.314960069,0.093321502
72,ALB,chloramphenicol,2,mlampoule1000mg,0.529249567,NA,NA,0.163312628
73,ALB,chloramphenicol,powder,forinjection1000mg,0.952695882,2.111398979,NA,0.163312628
74,ALB,ciprofloxacin,2,mg,0.70653709,0.011665188,NA,0
75,ALB,clindamycin,1,mlinjection150mg,NA,0.431611946,NA,1.411487715
76,ALB,cloxacillin,powder,forinjection500mg,0.725434694,NA,1.038201708,0.139982253
