"","iso3c","Medicine","Form","Dose","generic.adj","UK.adj","SA.adj","India.adj"
"1","AFG","amikacin","powder","forinjection1000mg",NA,21.8178994938148,0.503560416349062,0.247202386207721
"2","AFG","amikacin","powder","forinjection100mg",NA,2.17904325620139,0.302136249809437,0.0457782196680965
"3","AFG","amikacin","powder","forinjection500mg",NA,10.9135275688742,0.256358030141341,0.12817901507067
"4","AFG","ampicillin","powder","forinjection1000mg",0.589760803984087,18.6408910488489,1.10783291596794,0.119023371137051
"5","AFG","ampicillin","powder","forinjection500mg",0.571834053162061,9.32044552442445,0.558494279950777,0.0549338636017158
"6","AFG","cefazolin","powder","forinjection1000mg",0.738988644458148,NA,0.485249128481823,0.238046742274102
"7","AFG","cefotaxime","powder","forinjection250mg",0.587233846258408,1.19938935530413,0.13733465900429,0.0549338636017158
"8","AFG","ceftazidime","powder","forinjection1000mg",1.07911166094817,0.906408749428311,1.62054897625062,0.329603181610295
"9","AFG","ceftazidime","powder","forinjection250mg",0.685217547636002,1.62054897625062,0.402848333079249,0.329603181610295
"10","AFG","ceftriaxone","powder","forinjection1000mg",0.785883852686147,0.585961211751635,0.402848333079249,0.13733465900429
"11","AFG","ceftriaxone","powder","forinjection250mg",0.611908306659513,1.30925708250756,0.247202386207721,0.0732451514689544
"12","AFG","chloramphenicol","2","mlampoule1000mg",0.415391565268308,NA,NA,0.12817901507067
"13","AFG","chloramphenicol","powder","forinjection1000mg",0.747741440058688,1.65717155198509,NA,0.12817901507067
"14","AFG","ciprofloxacin","2","mg",0.554539041771454,0.0091556439336193,NA,0
"15","AFG","clindamycin","1","mlinjection150mg",NA,0.338758825543914,NA,1.10783291596794
"16","AFG","cloxacillin","powder","forinjection500mg",0.569371184943917,NA,0.814852310092118,0.109867727203432
"17","AFG","dactinomycin","powder","forinjection500mcg",NA,NA,NA,5.37436298903453
"18","AFG","erythromycin","powder","forinjection500mg",NA,10.1810760541847,NA,NA
"19","AFG","fluconazole","1","mlvial2mg",0.554264372453446,0.0091556439336193,NA,0
"20","AFG","gentamicin","2","mlvial20mg",NA,1.30925708250756,NA,0.0366225757344772
"21","AFG","gentamicin","2","mlvial80mg",NA,0.714140226822306,0.210579810473244,0.0366225757344772
"22","AFG","imipenem/cilastatin","powder","forinjection500mg/500mg",NA,3.02136249809437,2.85656090728922,10.8585937052725
"23","AFG","imipenem/cilastatin","powder","forinjection250mg/250mg",NA,NA,1.42828045364461,7.78229734357641
"24","AFG","kanamycin","powder","forinjection1g",NA,NA,NA,0.39369268914563
"25","AFG","streptomycin","powder","forinjection1000mg",NA,NA,0.26551367407496,0.0549338636017158
"26","AFG","streptomycin","powder","forinjection1000mg",NA,NA,0.26551367407496,0.0549338636017158
"27","AFG","sulfamethoxazole/trimethoprim","5","mlampoule400mg+80mg",0.229596082923371,2.11495374866606,NA,NA
"28","AFG","sulfamethoxazole/trimethoprim","10ml","ampoule800mg+160mg",0.237616427009222,4.22990749733212,NA,NA
"29","AFG","vancomycin","powder","forinjection250mg",0.831121889362159,0.65920636322059,0.805696666158499,0.256358030141341
"30","AFG","metronidazole","100ml","vial500mg",0.561424086009536,0.430315264880107,0.0824007954025737,0.00563987666310949
"31","AGO","amikacin","powder","forinjection1000mg",NA,22.9903731054753,0.530621284431867,0.260486812357462
"32","AGO","amikacin","powder","forinjection100mg",NA,2.29614301263244,0.31837277065912,0.0482382985847152
"33","AGO","amikacin","powder","forinjection500mg",NA,11.5000103825961,0.270134472074405,0.135067236037203
"34","AGO","ampicillin","powder","forinjection1000mg",0.621454000666886,19.642635183696,1.16736682575011,0.12541957632026
"35","AGO","ampicillin","powder","forinjection500mg",0.602563882941111,9.82131759184801,0.588507242733525,0.0578859583016582
"36","AGO","cefazolin","powder","forinjection1000mg",0.77870120639334,NA,0.511325964997981,0.250839152640519
"37","AGO","cefotaxime","powder","forinjection250mg",0.61879124658501,1.26384342291954,0.144714895754146,0.0578859583016582
"38","AGO","ceftazidime","powder","forinjection1000mg",1.13710211721806,0.955118311977361,1.70763576989892,0.347315749809949
"39","AGO","ceftazidime","powder","forinjection250mg",0.722040500875734,1.70763576989892,0.424497027545494,0.347315749809949
"40","AGO","ceftriaxone","powder","forinjection1000mg",0.828116519463523,0.617450221884354,0.424497027545494,0.144714895754146
"41","AGO","ceftriaxone","powder","forinjection250mg",0.644791689522171,1.37961533952285,0.260486812357462,0.0771812777355443
"42","AGO","chloramphenicol","2","mlampoule1000mg",0.437714321357706,NA,NA,0.135067236037203
"43","AGO","chloramphenicol","powder","forinjection1000mg",0.787924369082738,1.74622640876669,NA,0.135067236037203
"44","AGO","ciprofloxacin","2","mg",0.584339453735806,0.00964765971694304,NA,0
"45","AGO","clindamycin","1","mlinjection150mg",NA,0.356963409526892,NA,1.16736682575011
"46","AGO","cloxacillin","powder","forinjection500mg",0.599968662477254,NA,0.858641714807931,0.115771916603316
"47","AGO","dactinomycin","powder","forinjection500mcg",NA,NA,NA,5.66317625384556
"48","AGO","erythromycin","powder","forinjection500mg",NA,10.7281976052407,NA,NA
"49","AGO","fluconazole","1","mlvial2mg",0.584050023944298,0.00964765971694304,NA,0
"50","AGO","gentamicin","2","mlvial20mg",NA,1.37961533952285,NA,0.0385906388677722
"51","AGO","gentamicin","2","mlvial80mg",NA,0.752517457921557,0.22189617348969,0.0385906388677722
"52","AGO","imipenem/cilastatin","powder","forinjection500mg/500mg",NA,3.1837277065912,3.01006983168623,11.4421244242944
"53","AGO","imipenem/cilastatin","powder","forinjection250mg/250mg",NA,NA,1.50503491584311,8.20051075940158
"54","AGO","kanamycin","powder","forinjection1g",NA,NA,NA,0.414849367828551
"55","AGO","streptomycin","powder","forinjection1000mg",NA,NA,0.279782131791348,0.0578859583016582
"56","AGO","streptomycin","powder","forinjection1000mg",NA,NA,0.279782131791348,0.0578859583016582
"57","AGO","sulfamethoxazole/trimethoprim","5","mlampoule400mg+80mg",0.241934362721781,2.22860939461384,NA,NA
"58","AGO","sulfamethoxazole/trimethoprim","10ml","ampoule800mg+160mg",0.250385712633823,4.45721878922768,NA,NA
"59","AGO","vancomycin","powder","forinjection250mg",0.875785606124938,0.694631499619899,0.848994055090987,0.270134472074405
"60","AGO","metronidazole","100ml","vial500mg",0.591594493842947,0.453440006696323,0.0868289374524873,0.00594295838563691
"61","ALB","amikacin","powder","forinjection1000mg",NA,27.7981423559709,0.641585325043391,0.314960068657665
"62","ALB","amikacin","powder","forinjection100mg",NA,2.77631467927867,0.384951195026034,0.0583259386403082
"63","ALB","amikacin","powder","forinjection500mg",NA,13.9049037718495,0.326625256385726,0.163312628192863
"64","ALB","ampicillin","powder","forinjection1000mg",0.751413067503091,23.7503222143335,1.41148771509546,0.151647440464801
"65","ALB","ampicillin","powder","forinjection500mg",0.728572629931546,11.8751611071668,0.71157645141176,0.0699911263683699
"66","ALB","cefazolin","powder","forinjection1000mg",0.941543962282768,NA,0.618254949587267,0.303294880929603
"67","ALB","cefotaxime","powder","forinjection250mg",0.748193475690146,1.52813959237608,0.174977815920925,0.0699911263683699
"68","ALB","ceftazidime","powder","forinjection1000mg",1.37489402119253,1.1548535850781,2.06473822786691,0.419946758210219
"69","ALB","ceftazidime","powder","forinjection250mg",0.873034314755862,2.06473822786691,0.513268260034712,0.419946758210219
"70","ALB","ceftriaxone","powder","forinjection1000mg",1.0012930538259,0.746572014595945,0.513268260034712,0.174977815920925
"71","ALB","ceftriaxone","powder","forinjection250mg",0.779631156617272,1.66812184511282,0.314960068657665,0.0933215018244932
"72","ALB","chloramphenicol","2","mlampoule1000mg",0.529249567222157,NA,NA,0.163312628192863
"73","ALB","chloramphenicol","powder","forinjection1000mg",0.952695881750795,2.11139897877916,NA,0.163312628192863
"74","ALB","ciprofloxacin","2","mg",0.706537090313238,0.0116651877280616,NA,0
"75","ALB","clindamycin","1","mlinjection150mg",NA,0.431611945938281,NA,1.41148771509546
"76","ALB","cloxacillin","powder","forinjection500mg",0.725434694432698,NA,1.03820170779749,0.13998225273674
"77","ALB","dactinomycin","powder","forinjection500mcg",NA,NA,NA,6.84746519637219
"78","ALB","erythromycin","powder","forinjection500mg",NA,12.9716887536045,NA,NA
"79","ALB","fluconazole","1","mlvial2mg",0.706187134681396,0.0116651877280616,NA,0
"80","ALB","gentamicin","2","mlvial20mg",NA,1.66812184511282,NA,0.0466607509122466
"81","ALB","gentamicin","2","mlvial80mg",NA,0.909884642788809,0.268299317745418,0.0466607509122466
"82","ALB","imipenem/cilastatin","powder","forinjection500mg/500mg",NA,3.84951195026034,3.63953857115523,13.8349126454811
"83","ALB","imipenem/cilastatin","powder","forinjection250mg/250mg",NA,NA,1.81976928557762,9.9154095688524
"84","ALB","kanamycin","powder","forinjection1g",NA,NA,NA,0.501603072306651
"85","ALB","streptomycin","powder","forinjection1000mg",NA,NA,0.338290444113788,0.0699911263683699
"86","ALB","streptomycin","powder","forinjection1000mg",NA,NA,0.338290444113788,0.0699911263683699
"87","ALB","sulfamethoxazole/trimethoprim","5","mlampoule400mg+80mg",0.292527912656602,2.69465836518224,NA,NA
"88","ALB","sulfamethoxazole/trimethoprim","10ml","ampoule800mg+160mg",0.302746617106384,5.38931673036448,NA,NA
"89","ALB","vancomycin","powder","forinjection250mg",1.05893074639025,0.839893516420439,1.02653652006942,0.326625256385726
"90","ALB","metronidazole","100ml","vial500mg",0.71530931148474,0.548263823218897,0.104986689552555,0.00718575564048597
"91","AND","amikacin","powder","forinjection1000mg",NA,24.9925930087625,0.576832822275256,0.283172476389671
"92","AND","amikacin","powder","forinjection100mg",NA,2.49611294002747,0.346099693365154,0.0524393474795687
"93","AND","amikacin","powder","forinjection500mg",NA,12.5015404391292,0.293660345885585,0.146830172942792
"94","AND","ampicillin","powder","forinjection1000mg",0.675576113579284,21.3533022936804,1.26903220900556,0.136342303446879
"95","AND","ampicillin","powder","forinjection500mg",0.655040865106285,10.6766511468402,0.639760039250738,0.0629272169754825
"96","AND","cefazolin","powder","forinjection1000mg",0.846517898493182,NA,0.555857083283429,0.272684606893757
