retrieval,study_ref,microbe,bacteria.code,exposed.R,syndrome,first author(s),study year,study period,study type,country,n_exposed,n_nonexposed,los,review_marker,cost_year,cost_currency,measure,se.measure,avexp,lowexp,highexp,otherexp,avnon,lownon,highnon,othernon,p,minexp,maxexp,minnon,maxnon,pvalue_flag,notes,both_los_cost,unique_id_4both,FLAG_COMPLETE,FLAG_MONEY,FLAG_EXPOSED<NON
zhen_63,"Adams DJ, Eberly MD, Goudie A, Nylund CM. Rising vancomycin-resistant
Enterococcus infections in hospitalized children in the United States. Hosp
Pediatr. 2016;6:404–11.",Enterococcus,efa,vancomycin,INF,Adams,2016,"1997, 2000, 2003,2006, 2009, and 2012.",Retrospective ,USA,3356,39505704,1,DRI,,,mean,95ci,14.3,14.1,14.6,,12.2,12,12.4,,,,,,,,p<0.001,1,82,FALSE,FALSE,FALSE
zhen_63,"Adams DJ, Eberly MD, Goudie A, Nylund CM. Rising vancomycin-resistant
Enterococcus infections in hospitalized children in the United States. Hosp
Pediatr. 2016;6:404–11.",Enterococcus,efa,vancomycin,INF,Adams,2016,"1997, 2000, 2003,2006, 2009, and 2012.",Retrospective ,USA,3356,39505704,0,DRI,2015,USD,mean,95ci,51020,43463,59891,,42787,37797,48434,,0.004,,,,,,,1,82,FALSE,FALSE,FALSE
cassini_53,"Ahn JY, Song JE, Kim MH, et al. Risk factors for the acquisition of carbapenem-resistant Escherichia coli at a tertiary care center in South Korea: A matched case-control study. American journal of infection control. 2014;42(6):621-625.",Escherichia coli,eco,carbapenems,INF,Ahn,2014,10/06 -12/10,Matched case-control,South Korea,57,114,1,AMR,,,mean,sd,26.6,,,37.9,13.1,,,41.3,,,,,,,matched on Site of infection,0,0,FALSE,FALSE,FALSE
zhen_44,"Anderson DJ, Kaye KS, Chen LF, Schmader KE, Choi Y, Sloane R, et al. Clinical
and financial outcomes due to methicillin resistant Staphylococcus aureus
surgical site infection: a multi-center matched outcomes study. PLoS One.
2009;4:e8305.",Staphylococcus aureus,sau,methicillin,SSI,Anderson,2009,01/1998-04/2003,Cohort,USA,150,128,1,AMR,,,excess,95ci,5.5,1.97,9.11,,,,,,,,,,,,,1,1,FALSE,FALSE,FALSE
zhen_44,"Anderson DJ, Kaye KS, Chen LF, Schmader KE, Choi Y, Sloane R, et al. Clinical
and financial outcomes due to methicillin resistant Staphylococcus aureus
surgical site infection: a multi-center matched outcomes study. PLoS One.
2009;4:e8305.",Staphylococcus aureus,sau,methicillin,SSI,Anderson,2009,01/1998-04/2003,Cohort,USA,150,128,0,AMR,2003,USD,excess,95ci,24113,4521,43704,,,,,,,,,,,,,1,1,FALSE,FALSE,FALSE
zhen_44,"Anderson DJ, Kaye KS, Chen LF, Schmader KE, Choi Y, Sloane R, et al. Clinical
and financial outcomes due to methicillin resistant Staphylococcus aureus
surgical site infection: a multi-center matched outcomes study. PLoS One.
2009;4:e8305.",Staphylococcus aureus,sau,methicillin,SSI,Anderson,2009,01/1998-04/2003,Cohort,USA,150,231,1,DRI,,,excess_median,IQR,23,19.7,26.3,,,,,,,,,,,,,1,73,FALSE,FALSE,FALSE
zhen_44,"Anderson DJ, Kaye KS, Chen LF, Schmader KE, Choi Y, Sloane R, et al. Clinical
and financial outcomes due to methicillin resistant Staphylococcus aureus
surgical site infection: a multi-center matched outcomes study. PLoS One.
2009;4:e8305.",Staphylococcus aureus,sau,methicillin,SSI,Anderson,2009,01/1998-04/2003,Cohort,USA,150,231,0,DRI,2003,USD,excess,95ci,61681,23352,100011,,,,,,,,,,,,,1,73,FALSE,FALSE,FALSE
cassini_63,"Apisarnthanarak A, Kiratisin P, Mundy LM. Predictors of mortality from community-onset bloodstream infections due to extended-spectrum beta-lactamase-producing Escherichia coli and Klebsiella pneumoniae. Infection control and hospital epidemiology. Jul 2008;29(7):671-674.",Enterobacteriaceae,ent,ESBL,BSI,Apisarnthanarak,2008,07/03-12/07,Retrospective case-control,Thailand,36,108,1,AMR,,,median,range,8,1,43,,6,3,15,,,,,,,,"updated number of exposed from cassini to that presented in paper, total length of stay, P<0.001",1,98,FALSE,FALSE,FALSE
founou_57,"Apisarnthanarak A, Kiratisin P, Saifon P, Kitphati R, Dejsirilert S, Mundy LM. Predictors of mortality
among patients with community-onset infection due to extended-spectrum beta-lactamase-producing
Escherichia coli in Thailand. Infect Control Hosp Epidemiol. 2008; 29(1):80±2. https://doi.org/10.1086/
524321 PMID: 18171194",Enterobacteriaceae,ent,ESBL,BSI,Apisarnthanarak,2008,07/2003-12/2007,Case control,Thailand,36,108,0,AMR,2007,USD,median,range,615,43,3173,,214,53,1861,,,,,,,,"cost after infection, P<0.001",1,98,FALSE,FALSE,FALSE
founou_56,"Apisarnthanarak A, Kiratisin P, Saifon P, Kitphati R, Dejsirilert S, Mundy LM. Risk factors for and outcomes
of healthcare-associated infection due to extended-spectrum beta-lactamase-producing Escherichia
coli or Klebsiella pneumoniae in Thailand. Infect Control Hosp Epidemiol. 2007; 28(7):873±6.
https://doi.org/10.1086/518725 PMID: 17564993",Enterobacteriaceae,ent,ESBL,INF,Apisarnthanarak,2007,07/2003-06/2004,Prospective case Adults,Thailand,74,74,0,AMR,2004,USD,median,range,1935,42,4224,,1122,30,3773,,,,,,,,"p<0.05, gives count breakdown of source, healthcare associated infection",1,2,FALSE,FALSE,FALSE
founou_56,"Apisarnthanarak A, Kiratisin P, Saifon P, Kitphati R, Dejsirilert S, Mundy LM. Risk factors for and outcomes
of healthcare-associated infection due to extended-spectrum beta-lactamase-producing Escherichia
coli or Klebsiella pneumoniae in Thailand. Infect Control Hosp Epidemiol. 2007; 28(7):873±6.
https://doi.org/10.1086/518725 PMID: 17564993",Enterobacteriaceae,ent,ESBL,INF,Apisarnthanarak,2007,07/2003-06/2004,Prospective case Adults,Thailand,74,74,1,AMR,,,median,range,22.5,1,48,,17.5,1,37,,,,,,,,"p<0.05, gives count breakdown of source, healthcare associated infection",1,2,FALSE,FALSE,FALSE
