"","Country (ISO3 Code)","WHO-CHOICE Region","Gram stain","Antibiotic Class","Syndrome","Regional Level of MA for LOS","Number of Studies in MA for LOS","Mean Excess LOS","Low 95% UI Bound Excess LOS","High 95% UI Bound Excess LOS"
"1","AFG","EMRO D","gp","penicillins","B-J","wbregion",1,6.08734941566053,3.44138595346494,8.6547937186058
"2","AFG","EMRO D","gn","3g cephalosporins","BSI","global",29,4.98972857889419,3.08473008260949,6.86488009054801
"3","AFG","EMRO D","gn","carbapenems","BSI","global",13,5.82863489835822,1.41234866298311,9.98716786738477
"4","AFG","EMRO D","gp","glycopeptides","BSI","global",14,7.43150797038867,4.83766414814164,9.9026424840281
"5","AFG","EMRO D","gp","penicillins","BSI","global",27,4.67995038887718,3.09960732332908,6.2098528871688
"6","AFG","EMRO D","gn","3g cephalosporins","COL/INF","global",13,10.6000047053202,4.57378922753499,16.3877212250531
"7","AFG","EMRO D","gn","carbapenems","COL/INF","global",21,6.33987061629089,4.06866487685432,8.79413534859584
"8","AFG","EMRO D","gp","glycopeptides","COL/INF","global",7,5.10960994354809,-0.359159663724877,10.6112334478196
"9","AFG","EMRO D","gp","penicillins","COL/INF","global",14,1.32361231870107,0.990294761520976,1.64048789819719
"10","AFG","EMRO D","gn","3g cephalosporins","RTI","global",7,0.47792580730447,-3.01283055477261,3.67200343469908
"11","AFG","EMRO D","gn","carbapenems","RTI","global",4,2.29648837112156,-7.38688269381385,12.4317653225729
"12","AFG","EMRO D","tb","mdr","RTI","global",3,147.074293182132,-78.4783317910181,355.744055988219
"13","AFG","EMRO D","gp","penicillins","RTI","global",13,2.25197905108986,0.377254469245499,4.06863869316139
"14","AFG","EMRO D","gp","penicillins","SSI","global",2,7.56206762713013,4.14003606779391,11.0336497443305
"15","AFG","EMRO D","gp","penicillins","SSTI","global",2,11.9159669923686,3.7708523251149,20.1703039393762
"16","AFG","EMRO D","gn","3g cephalosporins","UTI","global",4,3.59243207861014,1.74300054001427,5.32706608308226
"17","AFG","EMRO D","gn","carbapenems","UTI","global",2,9.72360639461132,1.11349662088222,19.1825595637184
"18","AFG","EMRO D","gp","glycopeptides","UTI","global",1,0.708762857783211,-50.0962932905316,51.2237640379484
"19","AGO","AFRO D","gp","penicillins","B-J","income",1,6.10052917680615,3.51188846593438,8.58739322286211
"20","AGO","AFRO D","gn","3g cephalosporins","BSI","global",29,4.96354274319624,3.0305571806282,6.9856248246906
"21","AGO","AFRO D","gn","carbapenems","BSI","global",13,5.73755966556716,1.45332388870763,10.2944106892944
"22","AGO","AFRO D","gp","glycopeptides","BSI","global",14,7.42116329473928,4.88565287981572,9.97288970765784
"23","AGO","AFRO D","gp","penicillins","BSI","wbregion",1,19.0405588658538,15.3711956193606,22.570426557485
"24","AGO","AFRO D","gn","3g cephalosporins","COL/INF","whoc",1,4.00240269748968,3.62694327374062,4.3975726739167
"25","AGO","AFRO D","gn","carbapenems","COL/INF","global",21,6.33503229755671,3.95210556605376,8.86040822276028
"26","AGO","AFRO D","gp","glycopeptides","COL/INF","global",7,5.11945794999358,0.038625834875567,10.6896728503566
"27","AGO","AFRO D","gp","penicillins","COL/INF","global",14,1.31755874026615,1.00604233479217,1.6222873177464
"28","AGO","AFRO D","gn","3g cephalosporins","RTI","global",7,0.509106969427898,-3.02068186764909,3.76070979818157
"29","AGO","AFRO D","gn","carbapenems","RTI","global",4,2.03395848151502,-7.29294553877751,12.4750671122493
"30","AGO","AFRO D","tb","mdr","RTI","global",3,148.1281827531,-59.4998970036797,372.719990518296
"31","AGO","AFRO D","gp","penicillins","RTI","global",13,2.24352447863996,0.340579950659998,4.11691419466127
"32","AGO","AFRO D","gp","penicillins","SSI","global",2,7.70510646969616,4.21612300377604,11.03077829165
"33","AGO","AFRO D","gp","penicillins","SSTI","global",2,11.8830585907894,3.42224010071036,20.7444055837575
"34","AGO","AFRO D","gn","3g cephalosporins","UTI","global",4,3.56901209757683,1.70706181251735,5.27452202456704
"35","AGO","AFRO D","gn","carbapenems","UTI","global",2,9.69413715784054,1.12694663490628,18.6935141207007
"36","AGO","AFRO D","gp","glycopeptides","UTI","global",1,1.99132886234452,-50.8554491504832,54.0702546309634
"37","ALB","EURO B","gp","penicillins","B-J","income",1,13.4802723558119,-15.8267167989161,40.4491501384223
"38","ALB","EURO B","gn","3g cephalosporins","BSI","income",13,5.09032389925638,2.54110834676249,7.67026951779742
"39","ALB","EURO B","gn","carbapenems","BSI","income",3,-2.70418986398639,-16.5530549195845,9.99331024352766
"40","ALB","EURO B","gp","glycopeptides","BSI","wbregion",2,15.4580689755534,2.44997692824435,27.9120167651778
"41","ALB","EURO B","gp","penicillins","BSI","income",6,5.71868186120482,1.34582571640605,10.0733694404659
"42","ALB","EURO B","gn","3g cephalosporins","COL/INF","income",6,9.59921436409434,7.01013486281828,12.2489798122883
"43","ALB","EURO B","gn","carbapenems","COL/INF","whoc",3,5.58784799225348,2.11762835612104,8.86578958800934
"44","ALB","EURO B","gp","glycopeptides","COL/INF","wbregion",1,11.2269587099856,-1.50954113506986,23.8527060392163
"45","ALB","EURO B","gp","penicillins","COL/INF","income",1,0.998841249990922,0.794087158556249,1.19652101218496
"46","ALB","EURO B","gn","3g cephalosporins","RTI","income",7,0.572037219346078,-2.8097334863019,3.93178608436276
"47","ALB","EURO B","gn","carbapenems","RTI","income",1,46.0102986486916,-34.5972172967882,127.546284905462
"48","ALB","EURO B","tb","mdr","RTI","wbregion",2,217.106265435346,-81.6568324713265,494.818836948879
"49","ALB","EURO B","gp","penicillins","RTI","income",3,1.44482109597886,0.0777189723868719,2.90143123347578
"50","ALB","EURO B","gp","penicillins","SSI","global",2,7.58163318829215,4.15309065651403,10.9678857226845
