"","Country (ISO3 Code)","WHO-CHOICE Region","World Bank Geographical Region","World Health Organization Region","World Bank Income Status","Gram stain","Antibiotic Class","Syndrome","Regional Level of MA for LOS","Number of Studies in MA for LOS","Mean Cost - from Excess LOS","Low 95% UI Bound - from Excess LOS","High 95% UI Bound - from Excess LOS","Regional Level of MA for Extracted Costs","Number of Studies in MA for Extracted Costs","Mean Cost - from Extracted Costs","Low 95% UI Bound - from Exctraced Costs","High 95% UI Bound - from Extraced Costs","Mean Cost - Across Both","Low 95% UI Bound - Across Both","High 95% UI Bound - Across Both"
"1","AFG","EMRO D","South Asia","EMRO","Low income","gp","penicillins","B-J","wbregion",1,7,2,16,NA,NA,NA,NA,NA,7,2,16
"2","AFG","EMRO D","South Asia","EMRO","Low income","gn","3g cephalosporins","BSI","global",29,6,2,12,"global",9,316,-179,796,161,-84,701
"3","AFG","EMRO D","South Asia","EMRO","Low income","gn","carbapenems","BSI","global",13,7,2,16,NA,NA,NA,NA,NA,7,2,16
"4","AFG","EMRO D","South Asia","EMRO","Low income","gp","glycopeptides","BSI","global",14,9,3,20,"global",5,2813,-474,6762,1411,-91,5998
"5","AFG","EMRO D","South Asia","EMRO","Low income","gp","penicillins","BSI","global",27,6,2,14,"global",12,219,-104,546,112,-39,489
"6","AFG","EMRO D","South Asia","EMRO","Low income","gn","3g cephalosporins","COL/INF","global",13,13,4,26,"global",6,411,-386,1166,212,-249,1030
"7","AFG","EMRO D","South Asia","EMRO","Low income","gn","carbapenems","COL/INF","global",21,8,3,17,"global",10,3413,105,6485,1710,3,6056
"8","AFG","EMRO D","South Asia","EMRO","Low income","gp","glycopeptides","COL/INF","global",7,6,0,16,"global",4,22153,-619,44226,11079,0,41659
"9","AFG","EMRO D","South Asia","EMRO","Low income","gp","penicillins","COL/INF","global",14,4,0,10,"global",7,3070,-3965,10101,1537,-2876,9115
"10","AFG","EMRO D","South Asia","EMRO","Low income","gn","3g cephalosporins","RTI","global",7,0,-6,7,NA,NA,NA,NA,NA,0,-6,7
"11","AFG","EMRO D","South Asia","EMRO","Low income","gn","carbapenems","RTI","global",4,2,-10,17,"global",1,6167,-5403,18010,3085,-3666,15797
"12","AFG","EMRO D","South Asia","EMRO","Low income","tb","mdr","RTI","global",3,169,-68,535,"global",1,48499,-44548,138852,24334,-27486,125715
"13","AFG","EMRO D","South Asia","EMRO","Low income","gp","penicillins","RTI","global",13,2,0,6,"global",5,-724,-5347,4151,-361,-4588,3141
"14","AFG","EMRO D","South Asia","EMRO","Low income","gp","penicillins","SSI","global",2,9,3,20,"global",2,36532,-14603,83462,18271,-6188,78747
"15","AFG","EMRO D","South Asia","EMRO","Low income","gp","penicillins","SSTI","global",2,14,3,33,"global",2,618,-445,1669,316,-301,1495
"16","AFG","EMRO D","South Asia","EMRO","Low income","gn","3g cephalosporins","UTI","global",4,4,1,9,"global",2,1528,-1104,4105,766,-594,3620
"17","AFG","EMRO D","South Asia","EMRO","Low income","gn","carbapenems","UTI","global",2,11,1,30,NA,NA,NA,NA,NA,11,1,30
"18","AFG","EMRO D","South Asia","EMRO","Low income","gp","glycopeptides","UTI","global",1,1,-74,68,NA,NA,NA,NA,NA,1,-74,68
"19","AGO","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","gp","penicillins","B-J","income",1,205,70,476,NA,NA,NA,NA,NA,205,70,476
"20","AGO","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","gn","3g cephalosporins","BSI","global",29,167,58,380,"global",9,318,-165,783,243,-52,707
"21","AGO","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","gn","carbapenems","BSI","global",13,200,51,500,NA,NA,NA,NA,NA,200,51,500
"22","AGO","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","gp","glycopeptides","BSI","global",14,273,99,598,"global",5,2893,-653,6704,1583,-144,5885
"23","AGO","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","gp","penicillins","BSI","wbregion",1,635,235,1385,"global",12,219,-90,493,427,-45,1197
"24","AGO","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","gn","3g cephalosporins","COL/INF","whoc",1,134,52,291,"whoc",1,115,-113,328,125,-75,320
"25","AGO","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","gn","carbapenems","COL/INF","global",21,220,74,504,"global",10,3363,267,6335,1792,76,5763
"26","AGO","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","gp","glycopeptides","COL/INF","global",7,174,15,461,"global",4,21833,-2009,45239,11003,11,41970
"27","AGO","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","gp","penicillins","COL/INF","global",14,112,8,306,"global",7,2873,-4137,9871,1492,-3105,8917
"28","AGO","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","gn","3g cephalosporins","RTI","global",7,11,-155,191,NA,NA,NA,NA,NA,11,-155,191
"29","AGO","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","gn","carbapenems","RTI","global",4,85,-249,466,"global",1,6393,-5104,18162,3239,-3572,16818
"30","AGO","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","tb","mdr","RTI","global",3,4872,-1667,15955,"global",1,48195,-50192,145196,26533,-32725,127773
"31","AGO","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","gp","penicillins","RTI","global",13,71,11,186,"global",5,-717,-5311,3706,-323,-4336,2986
"32","AGO","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","gp","penicillins","SSI","global",2,253,80,603,"global",2,38618,-13550,88860,19436,-3691,81231
"33","AGO","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","gp","penicillins","SSTI","global",2,409,77,1088,"global",2,613,-495,1718,511,-272,1518
"34","AGO","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","gn","3g cephalosporins","UTI","global",4,120,39,284,"global",2,1602,-814,3933,861,-459,3665
"35","AGO","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","gn","carbapenems","UTI","global",2,320,8,867,NA,NA,NA,NA,NA,320,8,867
"36","AGO","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","gp","glycopeptides","UTI","global",1,64,-1819,1827,NA,NA,NA,NA,NA,64,-1819,1827
"37","ALB","EURO B","Europe & Central Asia","EURO","Upper middle income","gp","penicillins","B-J","income",1,622,-767,2399,NA,NA,NA,NA,NA,622,-767,2399
"38","ALB","EURO B","Europe & Central Asia","EURO","Upper middle income","gn","3g cephalosporins","BSI","income",13,232,69,499,"income",3,322,-164,769,277,-56,718
"39","ALB","EURO B","Europe & Central Asia","EURO","Upper middle income","gn","carbapenems","BSI","income",3,-124,-777,526,NA,NA,NA,NA,NA,-124,-777,526
"40","ALB","EURO B","Europe & Central Asia","EURO","Upper middle income","gp","glycopeptides","BSI","wbregion",2,714,100,1846,"wbregion",1,34486,-35519,106137,17600,-25250,95791
"41","ALB","EURO B","Europe & Central Asia","EURO","Upper middle income","gp","penicillins","BSI","income",6,286,-28,782,"income",2,126,-108,356,206,-82,683
"42","ALB","EURO B","Europe & Central Asia","EURO","Upper middle income","gn","3g cephalosporins","COL/INF","income",6,439,165,940,"income",3,1236,-162,2602,837,83,2412
