"","Country (ISO3 Code)","WHO-CHOICE Region","Gram stain","Antibiotic Class","Syndrome","Regional Level of MA for LOS","Number of Studies in MA for LOS","Mean Excess LOS","Low 95% UI Bound Excess LOS","High 95% UI Bound Excess LOS"
"1","AFG","EMRO D","gn","3g cephalosporins","BSI","global",3,7.92960483529466,6.6404933488908,9.18046184406171
"2","AFG","EMRO D","gn","carbapenems","BSI","global",4,10.1142676583894,4.01109823541083,17.4453029254774
"3","AFG","EMRO D","gp","glycopeptides","BSI","global",3,13.8464755364537,7.29140634041025,20.9130406432872
"4","AFG","EMRO D","gp","penicillins","BSI","global",5,11.79073467514,9.75171733100753,13.6939580180346
"5","AFG","EMRO D","gn","3g cephalosporins","COL/INF","global",5,11.127750413207,3.59181064853565,18.3619644824321
"6","AFG","EMRO D","gn","carbapenems","COL/INF","global",9,9.99484144933558,6.73472249979406,12.9202747802095
"7","AFG","EMRO D","gp","glycopeptides","COL/INF","global",3,10.8748754585066,0.0984955870960983,21.9480668395276
"8","AFG","EMRO D","gp","penicillins","COL/INF","global",7,16.3286583464158,12.8215518554138,19.9652554306164
"9","AFG","EMRO D","gp","glycopeptides","IAI","global",1,2.63883948489882,0.0244636945137752,5.3094427247786
"10","AFG","EMRO D","gn","carbapenems","RTI","global",1,18.5239636117365,-65.3229277388889,102.971443145488
"11","AFG","EMRO D","gp","penicillins","SSI","global",3,17.4763346609776,11.4811047643486,23.9031889885445
"12","AFG","EMRO D","gp","penicillins","SSTI","global",1,18.7220179517785,6.26794235356109,31.4652958497432
"13","AGO","AFRO D","gn","3g cephalosporins","BSI","global",3,7.93602600539909,6.67484212201001,9.14762437124929
"14","AGO","AFRO D","gn","carbapenems","BSI","global",4,10.2621461925151,3.679243206853,17.3362316769819
"15","AGO","AFRO D","gp","glycopeptides","BSI","global",3,13.872573601956,7.37872863740409,20.9732197641813
"16","AGO","AFRO D","gp","penicillins","BSI","global",5,11.8310639900351,9.98431185549495,13.6964021943048
"17","AGO","AFRO D","gn","3g cephalosporins","COL/INF","whoc",1,7.90737573544624,7.08066955350605,8.64398665087309
