,Country (ISO3 Code),WHO-CHOICE Region,World Bank Geographical Region,World Health Organization Region,World Bank Income Status,Gram stain,Antibiotic Class,Syndrome,Regional Level of MA for LOS,Number of Studies in MA for LOS,Mean Cost - from Excess LOS,Low 95% UI Bound - from Excess LOS,High 95% UI Bound - from Excess LOS,Regional Level of MA for Extracted Costs,Number of Studies in MA for Extracted Costs,Mean Cost - from Extracted Costs,Low 95% UI Bound - from Exctraced Costs,High 95% UI Bound - from Extraced Costs,Mean Cost - Across Both,Low 95% UI Bound - Across Both,High 95% UI Bound - Across Both
1,AFG,EMRO D,South Asia,EMRO,Low income,gn,3g cephalosporins,BSI,global,3,9,4,19,global,2,591,-581,1727,300,-356,1501
2,AFG,EMRO D,South Asia,EMRO,Low income,gn,carbapenems,BSI,global,4,12,3,27,NA,NA,NA,NA,NA,12,3,27
3,AFG,EMRO D,South Asia,EMRO,Low income,gp,glycopeptides,BSI,global,3,16,5,36,global,2,23797,-18192,62622,11906,-8585,56204
4,AFG,EMRO D,South Asia,EMRO,Low income,gp,penicillins,BSI,global,5,14,5,28,global,3,987,-691,2835,500,-448,2494
5,AFG,EMRO D,South Asia,EMRO,Low income,gn,3g cephalosporins,COL/INF,global,5,13,3,31,global,2,1755,-915,4247,884,-497,3898
6,AFG,EMRO D,South Asia,EMRO,Low income,gn,carbapenems,COL/INF,global,9,12,4,25,NA,NA,NA,NA,NA,12,4,25
7,AFG,EMRO D,South Asia,EMRO,Low income,gp,glycopeptides,COL/INF,global,3,13,0,36,global,5,13255,-1380,27433,6634,-2,25424
8,AFG,EMRO D,South Asia,EMRO,Low income,gp,penicillins,COL/INF,global,7,19,8,42,global,4,32810,-2351,66224,16414,7,61992
9,AFG,EMRO D,South Asia,EMRO,Low income,gp,glycopeptides,IAI,global,1,3,0,8,global,1,35818,-34293,107860,17911,-24762,96537
10,AFG,EMRO D,South Asia,EMRO,Low income,gn,carbapenems,RTI,global,1,21,-87,145,global,1,5264,-4646,15624,2643,-3445,13964
11,AFG,EMRO D,South Asia,EMRO,Low income,gp,penicillins,SSI,global,3,20,7,43,global,2,84457,-33705,200178,42239,-15699,180392
12,AFG,EMRO D,South Asia,EMRO,Low income,gp,penicillins,SSTI,global,1,22,5,53,NA,NA,NA,NA,NA,22,5,53
13,AFG,EMRO D,South Asia,EMRO,Low income,gp,glycopeptides,UTI,NA,NA,NA,NA,NA,global,1,9494,-11081,29075,9494,-11081,29075
14,AGO,AFRO D,Sub-Saharan Africa,AFRO,Lower middle income,gn,3g cephalosporins,BSI,global,3,266,102,583,global,2,596,-549,1697,431,-281,1517
15,AGO,AFRO D,Sub-Saharan Africa,AFRO,Lower middle income,gn,carbapenems,BSI,global,4,344,80,867,NA,NA,NA,NA,NA,344,80,867
16,AGO,AFRO D,Sub-Saharan Africa,AFRO,Lower middle income,gp,glycopeptides,BSI,global,3,463,147,1094,global,2,24130,-14978,63132,12297,-8027,57932
17,AGO,AFRO D,Sub-Saharan Africa,AFRO,Lower middle income,gp,penicillins,BSI,global,5,397,152,889,global,3,1026,-778,2819,711,-417,2564
18,AGO,AFRO D,Sub-Saharan Africa,AFRO,Lower middle income,gn,3g cephalosporins,COL/INF,whoc,1,265,101,567,global,2,1808,-611,4250,1036,-231,3944
19,AGO,AFRO D,Sub-Saharan Africa,AFRO,Lower middle income,gn,carbapenems,COL/INF,global,9,332,123,763,NA,NA,NA,NA,NA,332,123,763
20,AGO,AFRO D,Sub-Saharan Africa,AFRO,Lower middle income,gp,glycopeptides,COL/INF,global,3,350,9,968,global,5,13237,242,27326,6793,11,25029
21,AGO,AFRO D,Sub-Saharan Africa,AFRO,Lower middle income,gp,penicillins,COL/INF,global,7,550,208,1229,global,4,32424,-3109,68868,16487,164,64241
22,AGO,AFRO D,Sub-Saharan Africa,AFRO,Lower middle income,gp,glycopeptides,IAI,global,1,86,-1,240,global,1,33041,-32535,94540,16564,-23374,84630
23,AGO,AFRO D,Sub-Saharan Africa,AFRO,Lower middle income,gn,carbapenems,RTI,global,1,674,-2163,4089,global,1,5075,-3870,14460,2875,-3288,13164
24,AGO,AFRO D,Sub-Saharan Africa,AFRO,Lower middle income,gp,penicillins,SSI,global,3,582,198,1371,global,2,82658,-32117,192758,41620,-12046,177144
25,AGO,AFRO D,Sub-Saharan Africa,AFRO,Lower middle income,gp,penicillins,SSTI,global,1,636,149,1671,NA,NA,NA,NA,NA,636,149,1671
26,AGO,AFRO D,Sub-Saharan Africa,AFRO,Lower middle income,gp,glycopeptides,UTI,NA,NA,NA,NA,NA,global,1,10069,-9720,29394,10069,-9720,29394
27,ALB,EURO B,Europe & Central Asia,EURO,Upper middle income,gn,3g cephalosporins,BSI,income,2,366,141,774,income,2,615,-529,1667,490,-275,1535
28,ALB,EURO B,Europe & Central Asia,EURO,Upper middle income,gn,carbapenems,BSI,income,1,1492,54,3908,NA,NA,NA,NA,NA,1492,54,3908
