"","syndrome","gram.stain","class","bacteria","bacteria.code","Country (ISO3 Code)","AMR_or_DRI","WHO-CHOICE Region","World Bank Geographical Region","World Health Organization Region","World Bank Income Status","Regional Level of MA for LOS","Number of Studies in MA for LOS","Mean Cost - from Excess LOS","Low 95% UI Bound - from Excess LOS","High 95% UI Bound - from Excess LOS","Regional Level of MA for Extracted Costs","Number of Studies in MA for Extracted Costs","Mean Cost - from Extracted Costs","Low 95% UI Bound - from Exctraced Costs","High 95% UI Bound - from Extraced Costs","Mean Cost - Across Both","Low 95% UI Bound - Across Both","High 95% UI Bound - Across Both","adj.factor","Scenario 2 Mean Cost"
"1","B-J","gp","penicillins","Streptococcus pneumoniae","spn","DNK","AMR","EURO A","Europe & Central Asia","EURO","High income","income",1,444,-5991,6769,NA,NA,NA,NA,NA,444,-5991,6769,1.87079156449068,1274.63145463386
"2","B-J","gp","penicillins","Streptococcus pneumoniae","spn","AFG","AMR","EMRO D","South Asia","EMRO","Low income","wbregion",1,7,2,16,NA,NA,NA,NA,NA,7,2,16,2.68623198395786,25.803623887705
"3","B-J","gp","penicillins","Streptococcus pneumoniae","spn","BIH","AMR","EURO B","Europe & Central Asia","EURO","Upper middle income","income",1,642,-640,2555,NA,NA,NA,NA,NA,642,-640,2555,2.69094837960021,2369.58885970333
"4","B-J","gp","penicillins","Streptococcus pneumoniae","spn","GTM","AMR","AMRO D","Latin America & Caribbean","PAHO","Upper middle income","income",1,402,-508,1694,NA,NA,NA,NA,NA,402,-508,1694,2.69094837960021,1483.76124859928
"5","B-J","gp","penicillins","Streptococcus pneumoniae","spn","CZE","AMR","EURO A","Europe & Central Asia","EURO","High income","income",1,124,-1775,1969,NA,NA,NA,NA,NA,124,-1775,1969,1.87079156449068,355.978153996844
"6","B-J","gp","penicillins","Streptococcus pneumoniae","spn","YEM","AMR","EMRO D","Middle East & North Africa","EMRO","Low income","global",3,135,23,334,NA,NA,NA,NA,NA,135,23,334,2.68623198395786,497.641317834311
"7","B-J","gp","penicillins","Streptococcus pneumoniae","spn","ZAF","AMR","AFRO E","Sub-Saharan Africa","AFRO","Upper middle income","income",1,837,-1050,3553,NA,NA,NA,NA,NA,837,-1050,3553,2.69094837960021,3089.32379372538
"8","B-J","gp","penicillins","Streptococcus pneumoniae","spn","BLR","AMR","EURO C","Europe & Central Asia","EURO","Upper middle income","income",1,967,-1048,4065,NA,NA,NA,NA,NA,967,-1048,4065,2.69094837960021,3569.1470830734
"9","B-J","gp","penicillins","Streptococcus pneumoniae","spn","ISR","AMR","EURO A","Middle East & North Africa","EURO","High income","income",1,233,-4219,4204,NA,NA,NA,NA,NA,233,-4219,4204,1.87079156449068,668.894434526328
"10","B-J","gp","penicillins","Streptococcus pneumoniae","spn","BEN","AMR","AFRO D","Sub-Saharan Africa","AFRO","Low income","global",3,27,4,69,NA,NA,NA,NA,NA,27,4,69,2.68623198395786,99.5282635668622
"11","B-J","gp","penicillins","Streptococcus pneumoniae","spn","BEL","AMR","EURO A","Europe & Central Asia","EURO","High income","income",1,394,-4788,5811,NA,NA,NA,NA,NA,394,-4788,5811,1.87079156449068,1131.09187640933
"12","B-J","gp","penicillins","Streptococcus pneumoniae","spn","ALB","AMR","EURO B","Europe & Central Asia","EURO","Upper middle income","income",1,622,-767,2399,NA,NA,NA,NA,NA,622,-767,2399,2.69094837960021,2295.76989211133
"13","B-J","gp","penicillins","Streptococcus pneumoniae","spn","DZA","AMR","AFRO D","Middle East & North Africa","AFRO","Upper middle income","income",1,1469,-1683,6026,NA,NA,NA,NA,NA,1469,-1683,6026,2.69094837960021,5422.00316963271
