"","syndrome","class","gram.stain","iso3c.x","whoc.region","Income.group","wb.region","TE.final","seTE.final","level","no.studies"
"1","BSI","3g cephalosporins","gn","STP","AFRO D",NA,NA,266.42825574274,247.874869214812,"global",2
"2","BSI","3g cephalosporins","gn","COK","WPRO B",NA,NA,266.42825574274,247.874869214812,"global",2
"3","BSI","3g cephalosporins","gn","NIU","WPRO B",NA,NA,266.42825574274,247.874869214812,"global",2
"4","BSI","3g cephalosporins","gn","AUS","WPRO A","High income","East Asia & Pacific",266.42825574274,247.874869214812,"income",2
"5","BSI","3g cephalosporins","gn","BRN","WPRO A","High income","East Asia & Pacific",266.42825574274,247.874869214812,"income",2
"6","BSI","3g cephalosporins","gn","JPN","WPRO A","High income","East Asia & Pacific",266.42825574274,247.874869214812,"income",2
"7","BSI","3g cephalosporins","gn","NZL","WPRO A","High income","East Asia & Pacific",266.42825574274,247.874869214812,"income",2
"8","BSI","3g cephalosporins","gn","SGP","WPRO A","High income","East Asia & Pacific",266.42825574274,247.874869214812,"income",2
"9","BSI","3g cephalosporins","gn","KOR","WPRO B","High income","East Asia & Pacific",266.42825574274,247.874869214812,"income",2
"10","BSI","3g cephalosporins","gn","PLW","WPRO B","High income","East Asia & Pacific",266.42825574274,247.874869214812,"income",2
"11","BSI","3g cephalosporins","gn","PRK","SEARO D","Low income","East Asia & Pacific",266.42825574274,247.874869214812,"global",2
"12","BSI","3g cephalosporins","gn","IDN","SEARO B","Lower middle income","East Asia & Pacific",266.42825574274,247.874869214812,"global",2
"13","BSI","3g cephalosporins","gn","TLS","SEARO B","Lower middle income","East Asia & Pacific",266.42825574274,247.874869214812,"global",2
"14","BSI","3g cephalosporins","gn","MMR","SEARO D","Lower middle income","East Asia & Pacific",266.42825574274,247.874869214812,"global",2
"15","BSI","3g cephalosporins","gn","FSM","WPRO B","Lower middle income","East Asia & Pacific",266.42825574274,247.874869214812,"global",2
"16","BSI","3g cephalosporins","gn","KHM","WPRO B","Lower middle income","East Asia & Pacific",266.42825574274,247.874869214812,"global",2
"17","BSI","3g cephalosporins","gn","KIR","WPRO B","Lower middle income","East Asia & Pacific",266.42825574274,247.874869214812,"global",2
"18","BSI","3g cephalosporins","gn","LAO","WPRO B","Lower middle income","East Asia & Pacific",266.42825574274,247.874869214812,"global",2
"19","BSI","3g cephalosporins","gn","MNG","WPRO B","Lower middle income","East Asia & Pacific",266.42825574274,247.874869214812,"global",2
"20","BSI","3g cephalosporins","gn","PHL","WPRO B","Lower middle income","East Asia & Pacific",266.42825574274,247.874869214812,"global",2
"21","BSI","3g cephalosporins","gn","PNG","WPRO B","Lower middle income","East Asia & Pacific",266.42825574274,247.874869214812,"global",2
"22","BSI","3g cephalosporins","gn","SLB","WPRO B","Lower middle income","East Asia & Pacific",266.42825574274,247.874869214812,"global",2
"23","BSI","3g cephalosporins","gn","VNM","WPRO B","Lower middle income","East Asia & Pacific",266.42825574274,247.874869214812,"global",2
"24","BSI","3g cephalosporins","gn","VUT","WPRO B","Lower middle income","East Asia & Pacific",266.42825574274,247.874869214812,"global",2
"25","BSI","3g cephalosporins","gn","THA","SEARO B","Upper middle income","East Asia & Pacific",266.42825574274,247.874869214812,"income",2
"26","BSI","3g cephalosporins","gn","CHN","WPRO B","Upper middle income","East Asia & Pacific",266.42825574274,247.874869214812,"income",2
"27","BSI","3g cephalosporins","gn","FJI","WPRO B","Upper middle income","East Asia & Pacific",266.42825574274,247.874869214812,"income",2
"28","BSI","3g cephalosporins","gn","MHL","WPRO B","Upper middle income","East Asia & Pacific",266.42825574274,247.874869214812,"income",2
"29","BSI","3g cephalosporins","gn","MYS","WPRO B","Upper middle income","East Asia & Pacific",266.42825574274,247.874869214812,"income",2
"30","BSI","3g cephalosporins","gn","NRU","WPRO B","Upper middle income","East Asia & Pacific",266.42825574274,247.874869214812,"income",2
"31","BSI","3g cephalosporins","gn","TON","WPRO B","Upper middle income","East Asia & Pacific",266.42825574274,247.874869214812,"income",2
"32","BSI","3g cephalosporins","gn","TUV","WPRO B","Upper middle income","East Asia & Pacific",266.42825574274,247.874869214812,"income",2
"33","BSI","3g cephalosporins","gn","WSM","WPRO B","Upper middle income","East Asia & Pacific",266.42825574274,247.874869214812,"income",2
"34","BSI","3g cephalosporins","gn","CYP","EMRO E","High income","Europe & Central Asia",266.42825574274,247.874869214812,"income",2
"35","BSI","3g cephalosporins","gn","AND","EURO A","High income","Europe & Central Asia",266.42825574274,247.874869214812,"income",2
"36","BSI","3g cephalosporins","gn","AUT","EURO A","High income","Europe & Central Asia",266.42825574274,247.874869214812,"income",2
"37","BSI","3g cephalosporins","gn","BEL","EURO A","High income","Europe & Central Asia",266.42825574274,247.874869214812,"income",2
"38","BSI","3g cephalosporins","gn","CHE","EURO A","High income","Europe & Central Asia",266.42825574274,247.874869214812,"income",2
"39","BSI","3g cephalosporins","gn","CZE","EURO A","High income","Europe & Central Asia",266.42825574274,247.874869214812,"income",2
"40","BSI","3g cephalosporins","gn","DEU","EURO A","High income","Europe & Central Asia",266.42825574274,247.874869214812,"income",2
"41","BSI","3g cephalosporins","gn","DNK","EURO A","High income","Europe & Central Asia",266.42825574274,247.874869214812,"income",2
"42","BSI","3g cephalosporins","gn","ESP","EURO A","High income","Europe & Central Asia",266.42825574274,247.874869214812,"income",2
"43","BSI","3g cephalosporins","gn","FIN","EURO A","High income","Europe & Central Asia",266.42825574274,247.874869214812,"income",2
"44","BSI","3g cephalosporins","gn","FRA","EURO A","High income","Europe & Central Asia",266.42825574274,247.874869214812,"income",2
"45","BSI","3g cephalosporins","gn","GBR","EURO A","High income","Europe & Central Asia",266.42825574274,247.874869214812,"income",2
"46","BSI","3g cephalosporins","gn","GRC","EURO A","High income","Europe & Central Asia",266.42825574274,247.874869214812,"income",2
"47","BSI","3g cephalosporins","gn","HRV","EURO A","High income","Europe & Central Asia",266.42825574274,247.874869214812,"income",2
"48","BSI","3g cephalosporins","gn","IRL","EURO A","High income","Europe & Central Asia",266.42825574274,247.874869214812,"income",2
"49","BSI","3g cephalosporins","gn","ISL","EURO A","High income","Europe & Central Asia",266.42825574274,247.874869214812,"income",2
"50","BSI","3g cephalosporins","gn","ITA","EURO A","High income","Europe & Central Asia",266.42825574274,247.874869214812,"income",2
"51","BSI","3g cephalosporins","gn","LUX","EURO A","High income","Europe & Central Asia",266.42825574274,247.874869214812,"income",2
"52","BSI","3g cephalosporins","gn","MCO","EURO A","High income","Europe & Central Asia",266.42825574274,247.874869214812,"income",2
"53","BSI","3g cephalosporins","gn","NLD","EURO A","High income","Europe & Central Asia",266.42825574274,247.874869214812,"income",2
"54","BSI","3g cephalosporins","gn","NOR","EURO A","High income","Europe & Central Asia",266.42825574274,247.874869214812,"income",2
"55","BSI","3g cephalosporins","gn","PRT","EURO A","High income","Europe & Central Asia",266.42825574274,247.874869214812,"income",2
"56","BSI","3g cephalosporins","gn","SMR","EURO A","High income","Europe & Central Asia",266.42825574274,247.874869214812,"income",2
"57","BSI","3g cephalosporins","gn","SVN","EURO A","High income","Europe & Central Asia",266.42825574274,247.874869214812,"income",2
"58","BSI","3g cephalosporins","gn","SWE","EURO A","High income","Europe & Central Asia",266.42825574274,247.874869214812,"income",2
"59","BSI","3g cephalosporins","gn","POL","EURO B","High income","Europe & Central Asia",266.42825574274,247.874869214812,"income",2
"60","BSI","3g cephalosporins","gn","SVK","EURO B","High income","Europe & Central Asia",266.42825574274,247.874869214812,"income",2
"61","BSI","3g cephalosporins","gn","EST","EURO C","High income","Europe & Central Asia",266.42825574274,247.874869214812,"income",2
