"","syndrome","class","gram.stain","iso3c.x","whoc.region","Income.group","wb.region","TE.final","seTE.final","level","no.studies"
"1","BSI","3g cephalosporins","gn","STP","AFRO D",NA,NA,7.9357681908416,0.611267500858936,"global",3
"2","BSI","3g cephalosporins","gn","COK","WPRO B",NA,NA,7.9357681908416,0.611267500858936,"global",3
"3","BSI","3g cephalosporins","gn","NIU","WPRO B",NA,NA,7.9357681908416,0.611267500858936,"global",3
"4","BSI","3g cephalosporins","gn","AUS","WPRO A","High income","East Asia & Pacific",7.9357681908416,0.611267500858936,"income",3
"5","BSI","3g cephalosporins","gn","BRN","WPRO A","High income","East Asia & Pacific",7.9357681908416,0.611267500858936,"income",3
"6","BSI","3g cephalosporins","gn","JPN","WPRO A","High income","East Asia & Pacific",7.9357681908416,0.611267500858936,"income",3
"7","BSI","3g cephalosporins","gn","NZL","WPRO A","High income","East Asia & Pacific",7.9357681908416,0.611267500858936,"income",3
"8","BSI","3g cephalosporins","gn","SGP","WPRO A","High income","East Asia & Pacific",7.9357681908416,0.611267500858936,"income",3
"9","BSI","3g cephalosporins","gn","KOR","WPRO B","High income","East Asia & Pacific",7.9357681908416,0.611267500858936,"income",3
"10","BSI","3g cephalosporins","gn","PLW","WPRO B","High income","East Asia & Pacific",7.9357681908416,0.611267500858936,"income",3
"11","BSI","3g cephalosporins","gn","PRK","SEARO D","Low income","East Asia & Pacific",7.9357681908416,0.611267500858936,"global",3
"12","BSI","3g cephalosporins","gn","IDN","SEARO B","Lower middle income","East Asia & Pacific",7.9357681908416,0.611267500858936,"global",3
"13","BSI","3g cephalosporins","gn","TLS","SEARO B","Lower middle income","East Asia & Pacific",7.9357681908416,0.611267500858936,"global",3
"14","BSI","3g cephalosporins","gn","MMR","SEARO D","Lower middle income","East Asia & Pacific",7.9357681908416,0.611267500858936,"global",3
"15","BSI","3g cephalosporins","gn","FSM","WPRO B","Lower middle income","East Asia & Pacific",7.9357681908416,0.611267500858936,"global",3
"16","BSI","3g cephalosporins","gn","KHM","WPRO B","Lower middle income","East Asia & Pacific",7.9357681908416,0.611267500858936,"global",3
"17","BSI","3g cephalosporins","gn","KIR","WPRO B","Lower middle income","East Asia & Pacific",7.9357681908416,0.611267500858936,"global",3
"18","BSI","3g cephalosporins","gn","LAO","WPRO B","Lower middle income","East Asia & Pacific",7.9357681908416,0.611267500858936,"global",3
"19","BSI","3g cephalosporins","gn","MNG","WPRO B","Lower middle income","East Asia & Pacific",7.9357681908416,0.611267500858936,"global",3
"20","BSI","3g cephalosporins","gn","PHL","WPRO B","Lower middle income","East Asia & Pacific",7.9357681908416,0.611267500858936,"global",3
"21","BSI","3g cephalosporins","gn","PNG","WPRO B","Lower middle income","East Asia & Pacific",7.9357681908416,0.611267500858936,"global",3
"22","BSI","3g cephalosporins","gn","SLB","WPRO B","Lower middle income","East Asia & Pacific",7.9357681908416,0.611267500858936,"global",3
"23","BSI","3g cephalosporins","gn","VNM","WPRO B","Lower middle income","East Asia & Pacific",7.9357681908416,0.611267500858936,"global",3
"24","BSI","3g cephalosporins","gn","VUT","WPRO B","Lower middle income","East Asia & Pacific",7.9357681908416,0.611267500858936,"global",3
"25","BSI","3g cephalosporins","gn","THA","SEARO B","Upper middle income","East Asia & Pacific",7.90935233160622,0.616756720193014,"income",2
"26","BSI","3g cephalosporins","gn","CHN","WPRO B","Upper middle income","East Asia & Pacific",7.90935233160622,0.616756720193014,"income",2
"27","BSI","3g cephalosporins","gn","FJI","WPRO B","Upper middle income","East Asia & Pacific",7.90935233160622,0.616756720193014,"income",2
"28","BSI","3g cephalosporins","gn","MHL","WPRO B","Upper middle income","East Asia & Pacific",7.90935233160622,0.616756720193014,"income",2
"29","BSI","3g cephalosporins","gn","MYS","WPRO B","Upper middle income","East Asia & Pacific",7.90935233160622,0.616756720193014,"income",2
"30","BSI","3g cephalosporins","gn","NRU","WPRO B","Upper middle income","East Asia & Pacific",7.90935233160622,0.616756720193014,"income",2
"31","BSI","3g cephalosporins","gn","TON","WPRO B","Upper middle income","East Asia & Pacific",7.90935233160622,0.616756720193014,"income",2
"32","BSI","3g cephalosporins","gn","TUV","WPRO B","Upper middle income","East Asia & Pacific",7.90935233160622,0.616756720193014,"income",2
"33","BSI","3g cephalosporins","gn","WSM","WPRO B","Upper middle income","East Asia & Pacific",7.90935233160622,0.616756720193014,"income",2
"34","BSI","3g cephalosporins","gn","CYP","EMRO E","High income","Europe & Central Asia",7.9357681908416,0.611267500858936,"income",3
"35","BSI","3g cephalosporins","gn","AND","EURO A","High income","Europe & Central Asia",9.4,4.59183673469388,"whoc",1
"36","BSI","3g cephalosporins","gn","AUT","EURO A","High income","Europe & Central Asia",9.4,4.59183673469388,"whoc",1
"37","BSI","3g cephalosporins","gn","BEL","EURO A","High income","Europe & Central Asia",9.4,4.59183673469388,"whoc",1
"38","BSI","3g cephalosporins","gn","CHE","EURO A","High income","Europe & Central Asia",9.4,4.59183673469388,"whoc",1
"39","BSI","3g cephalosporins","gn","CZE","EURO A","High income","Europe & Central Asia",9.4,4.59183673469388,"whoc",1
"40","BSI","3g cephalosporins","gn","DEU","EURO A","High income","Europe & Central Asia",9.4,4.59183673469388,"whoc",1
"41","BSI","3g cephalosporins","gn","DNK","EURO A","High income","Europe & Central Asia",9.4,4.59183673469388,"whoc",1
"42","BSI","3g cephalosporins","gn","ESP","EURO A","High income","Europe & Central Asia",9.4,4.59183673469388,"whoc",1
