"","World Bank Income Status","Country (ISO3 Code)","WHO-CHOICE Region","World Bank Geographical Region","World Health Organization Region","Gram stain","Antibiotic Class","Syndrome","Regional Level of MA for LOS","Number of Studies in MA for LOS","Mean Cost - from Excess LOS","Low 95% UI Bound - from Excess LOS","High 95% UI Bound - from Excess LOS","Regional Level of MA for Extracted Costs","Number of Studies in MA for Extracted Costs","Mean Cost - from Extracted Costs","Low 95% UI Bound - from Exctraced Costs","High 95% UI Bound - from Extraced Costs","Mean Cost - Across Both","Low 95% UI Bound - Across Both","High 95% UI Bound - Across Both","AMR_or_DRI","adj.factor","los.cost","Scenario 2 Mean Cost"
"1","High income","AND","EURO A","Europe & Central Asia","EURO","gp","penicillins","B-J","income",1,612,-5915,7665,NA,NA,NA,NA,NA,612,-5915,7665,"AMR",2.09999563985153,612,1897.19733158914
"2","High income","AND","EURO A","Europe & Central Asia","EURO","gn","3g cephalosporins","BSI","whoc",13,3727,961,9349,"whoc",4,1604,-6724,9746,2666,-5386,9478,"AMR",2.09999563985153,3727,11553.6837497267
"3","High income","AND","EURO A","Europe & Central Asia","EURO","gn","carbapenems","BSI","whoc",5,6272,1096,17450,NA,NA,NA,NA,NA,6272,1096,17450,"AMR",2.09999563985153,6272,19443.1726531488
"4","High income","AND","EURO A","Europe & Central Asia","EURO","gp","glycopeptides","BSI","whoc",2,13182,1126,36397,"whoc",1,36276,-30827,112214,24729,-22182,99482,"AMR",2.09999563985153,13182,40864.1425245229
"5","High income","AND","EURO A","Europe & Central Asia","EURO","gp","penicillins","BSI","whoc",6,2034,-6242,12508,"whoc",1,1725,-1638,5087,1879,-5036,9948,"AMR",2.09999563985153,2034,6305.39113145801
"6","High income","AND","EURO A","Europe & Central Asia","EURO","gn","3g cephalosporins","COL/INF","income",6,13437,4510,29239,"income",2,26143,-16463,68547,19790,-9430,62535,"AMR",2.09999563985153,13437,41654.641412685
"7","High income","AND","EURO A","Europe & Central Asia","EURO","gn","carbapenems","COL/INF","whoc",1,5292,-1465,16289,"income",6,18921,1100,36831,12107,-937,34284,"AMR",2.09999563985153,5292,16405.1769260943
"8","High income","AND","EURO A","Europe & Central Asia","EURO","gp","glycopeptides","COL/INF","whoc",1,9594,-470,27837,"whoc",1,30699,-30694,88838,20147,-19372,79900,"AMR",2.09999563985153,9594,29741.3581687356
"9","High income","AND","EURO A","Europe & Central Asia","EURO","gp","penicillins","COL/INF","whoc",2,9422,3684,20412,"whoc",2,10336,-3501,24367,9879,-1163,23508,"AMR",2.09999563985153,9422,29208.1589186811
"10","High income","AND","EURO A","Europe & Central Asia","EURO","gn","3g cephalosporins","RTI","income",6,-911,-4267,1719,NA,NA,NA,NA,NA,-911,-4267,1719,"AMR",2.09999563985153,-911,-2824.09602790474
"11","High income","AND","EURO A","Europe & Central Asia","EURO","gn","carbapenems","RTI","whoc",2,5222,-2330,15901,"global",1,6519,-4891,18532,5870,-4215,17959,"AMR",2.09999563985153,5222,16188.1772313047
"12","High income","AND","EURO A","Europe & Central Asia","EURO","tb","mdr","RTI","whoc",1,56223,917,140534,"income",1,46950,-47955,140606,51587,-37872,140606,"AMR",2.09999563985153,56223,174291.054859373
"13","High income","AND","EURO A","Europe & Central Asia","EURO","gp","penicillins","RTI","whoc",3,10721,3410,26459,"whoc",1,32423,-34889,95527,21572,-24314,86047,"AMR",2.09999563985153,10721,33235.0532548483
"14","High income","AND","EURO A","Europe & Central Asia","EURO","gp","penicillins","SSI","income",2,6555,1971,15411,"income",2,35888,-13646,84342,21221,-5660,78318,"AMR",2.09999563985153,6555,20320.4714192268
"15","High income","AND","EURO A","Europe & Central Asia","EURO","gp","penicillins","SSTI","income",1,7904,2350,18451,"income",1,553,-635,1647,5454,-332,16717,"AMR",2.09999563985153,7904,24502.3655373865
"16","High income","AND","EURO A","Europe & Central Asia","EURO","gn","3g cephalosporins","UTI","whoc",1,3494,1350,7441,"whoc",1,1287,-1096,3954,2390,-718,6509,"AMR",2.09999563985153,3494,10831.3847656412
