"","iso3c","who.region","whoc.region","wb.region","Income.group"
"2","AFG","EMRO","EMRO D","South Asia","Low income"
"3","AGO","AFRO","AFRO D","Sub-Saharan Africa","Lower middle income"
"4","ALB","EURO","EURO B","Europe & Central Asia","Upper middle income"
"5","AND","EURO","EURO A","Europe & Central Asia","High income"
"6","ARE","EMRO","EMRO E","Middle East & North Africa","High income"
"7","ARG","PAHO","AMRO B","Latin America & Caribbean","Upper middle income"
"8","ARM","EURO","EURO B","Europe & Central Asia","Upper middle income"
"10","ATG","PAHO","AMRO B","Latin America & Caribbean","High income"
"11","AUS","WPRO","WPRO A","East Asia & Pacific","High income"
"12","AUT","EURO","EURO A","Europe & Central Asia","High income"
"13","AZE","EURO","EURO B","Europe & Central Asia","Upper middle income"
"14","BDI","AFRO","AFRO E","Sub-Saharan Africa","Low income"
"15","BEL","EURO","EURO A","Europe & Central Asia","High income"
"16","BEN","AFRO","AFRO D","Sub-Saharan Africa","Low income"
"17","BFA","AFRO","AFRO D","Sub-Saharan Africa","Low income"
"18","BGD","SEARO","SEARO D","South Asia","Lower middle income"
"19","BGR","EURO","EURO B","Europe & Central Asia","Upper middle income"
"20","BHR","EMRO","EMRO E","Middle East & North Africa","High income"
"21","BHS","PAHO","AMRO B","Latin America & Caribbean","High income"
"22","BIH","EURO","EURO B","Europe & Central Asia","Upper middle income"
"23","BLR","EURO","EURO C","Europe & Central Asia","Upper middle income"
"24","BLZ","PAHO","AMRO B","Latin America & Caribbean","Upper middle income"
"26","BOL","PAHO","AMRO D","Latin America & Caribbean","Lower middle income"
"27","BRA","PAHO","AMRO B","Latin America & Caribbean","Upper middle income"
"28","BRB","PAHO","AMRO B","Latin America & Caribbean","High income"
"29","BRN","WPRO","WPRO A","East Asia & Pacific","High income"
"30","BTN","SEARO","SEARO D","South Asia","Lower middle income"
"31","BWA","AFRO","AFRO E","Sub-Saharan Africa","Upper middle income"
"32","CAF","AFRO","AFRO E","Sub-Saharan Africa","Low income"
"33","CAN","PAHO","AMRO A","North America","High income"
"34","CHE","EURO","EURO A","Europe & Central Asia","High income"
"35","CHL","PAHO","AMRO B","Latin America & Caribbean","High income"
"36","CHN","WPRO","WPRO B","East Asia & Pacific","Upper middle income"
"37","CIV","AFRO","AFRO E","Sub-Saharan Africa","Lower middle income"
"38","CMR","AFRO","AFRO D","Sub-Saharan Africa","Lower middle income"
"39","COD","AFRO","AFRO E","Sub-Saharan Africa","Low income"
"40","COG","AFRO","AFRO E","Sub-Saharan Africa","Lower middle income"
"41","COK","WPRO","WPRO B",NA,NA
"42","COL","PAHO","AMRO B","Latin America & Caribbean","Upper middle income"
"43","COM","AFRO",NA,"Sub-Saharan Africa","Lower middle income"
"44","CPV","AFRO","AFRO D","Sub-Saharan Africa","Lower middle income"
"45","CRI","PAHO","AMRO B","Latin America & Caribbean","Upper middle income"
"46","CUB","PAHO","AMRO A","Latin America & Caribbean","Upper middle income"
"48","CYP","EURO","EMRO E","Europe & Central Asia","High income"
"49","CZE","EURO","EURO A","Europe & Central Asia","High income"
"50","DEU","EURO","EURO A","Europe & Central Asia","High income"
"51","DJI","EMRO","EMRO D","Middle East & North Africa","Lower middle income"
"52","DMA","PAHO","AMRO B","Latin America & Caribbean","Upper middle income"
"53","DNK","EURO","EURO A","Europe & Central Asia","High income"
"54","DOM","PAHO","AMRO B","Latin America & Caribbean","Upper middle income"
"55","DZA","AFRO","AFRO D","Middle East & North Africa","Upper middle income"
"56","ECU","PAHO","AMRO D","Latin America & Caribbean","Upper middle income"
"57","EGY","EMRO","EMRO D","Middle East & North Africa","Lower middle income"
"58","ERI","AFRO","AFRO E","Sub-Saharan Africa","Low income"
"59","ESP","EURO","EURO A","Europe & Central Asia","High income"
"60","EST","EURO","EURO C","Europe & Central Asia","High income"
"61","ETH","AFRO","AFRO E","Sub-Saharan Africa","Low income"
"62","FIN","EURO","EURO A","Europe & Central Asia","High income"
"63","FJI","WPRO","WPRO B","East Asia & Pacific","Upper middle income"
"64","FRA","EURO","EURO A","Europe & Central Asia","High income"
"66","FSM","WPRO","WPRO B","East Asia & Pacific","Lower middle income"
"67","GAB","AFRO","AFRO D","Sub-Saharan Africa","Upper middle income"
"68","GBR","EURO","EURO A","Europe & Central Asia","High income"
"69","GEO","EURO","EURO B","Europe & Central Asia","Upper middle income"
"70","GHA","AFRO","AFRO D","Sub-Saharan Africa","Lower middle income"
"72","GIN","AFRO","AFRO D","Sub-Saharan Africa","Low income"
"73","GMB","AFRO","AFRO D","Sub-Saharan Africa","Low income"
"74","GNB","AFRO","AFRO D","Sub-Saharan Africa","Low income"
"75","GNQ","AFRO","AFRO D","Sub-Saharan Africa","Upper middle income"
"76","GRC","EURO","EURO A","Europe & Central Asia","High income"
"77","GRD","PAHO","AMRO B","Latin America & Caribbean","Upper middle income"
"79","GTM","PAHO","AMRO D","Latin America & Caribbean","Upper middle income"
"81","GUY","PAHO","AMRO B","Latin America & Caribbean","Upper middle income"
"83","HND","PAHO","AMRO B","Latin America & Caribbean","Lower middle income"
"84","HRV","EURO","EURO A","Europe & Central Asia","High income"
"85","HTI","PAHO","AMRO D","Latin America & Caribbean","Low income"
"86","HUN","EURO","EURO C","Europe & Central Asia","High income"
"87","IDN","SEARO","SEARO B","East Asia & Pacific","Lower middle income"
"89","IND","SEARO","SEARO D","South Asia","Lower middle income"
"90","IRL","EURO","EURO A","Europe & Central Asia","High income"
"91","IRN","EMRO","EMRO E","Middle East & North Africa","Upper middle income"
"92","IRQ","EMRO","EMRO D","Middle East & North Africa","Upper middle income"
"93","ISL","EURO","EURO A","Europe & Central Asia","High income"
"94","ISR","EURO","EURO A","Middle East & North Africa","High income"
"95","ITA","EURO","EURO A","Europe & Central Asia","High income"
"96","JAM","PAHO","AMRO B","Latin America & Caribbean","Upper middle income"
"97","JOR","EMRO","EMRO E","Middle East & North Africa","Upper middle income"
"98","JPN","WPRO","WPRO A","East Asia & Pacific","High income"
"99","KAZ","EURO","EURO C","Europe & Central Asia","Upper middle income"
"100","KEN","AFRO","AFRO E","Sub-Saharan Africa","Lower middle income"
"101","KGZ","EURO","EURO B","Europe & Central Asia","Lower middle income"
"102","KHM","WPRO","WPRO B","East Asia & Pacific","Lower middle income"
"103","KIR","WPRO","WPRO B","East Asia & Pacific","Lower middle income"
"104","KNA","PAHO","AMRO B","Latin America & Caribbean","High income"
"105","KOR","WPRO","WPRO B","East Asia & Pacific","High income"
"106","KWT","EMRO","EMRO E","Middle East & North Africa","High income"
"107","LAO","WPRO","WPRO B","East Asia & Pacific","Lower middle income"
"108","LBN","EMRO","EMRO E","Middle East & North Africa","Upper middle income"
"109","LBR","AFRO","AFRO D","Sub-Saharan Africa","Low income"
"110","LBY","EMRO","EMRO E","Middle East & North Africa","Upper middle income"
"111","LCA","PAHO","AMRO B","Latin America & Caribbean","Upper middle income"
"113","LKA","SEARO","SEARO B","South Asia","Upper middle income"
"114","LSO","AFRO","AFRO E","Sub-Saharan Africa","Lower middle income"
"115","LTU","EURO","EURO C","Europe & Central Asia","High income"
"116","LUX","EURO","EURO A","Europe & Central Asia","High income"
"117","LVA","EURO","EURO C","Europe & Central Asia","High income"
"120","MAR","EMRO","EMRO D","Middle East & North Africa","Lower middle income"
"121","MCO","EURO","EURO A","Europe & Central Asia","High income"
"122","MDA","EURO","EURO C","Europe & Central Asia","Lower middle income"
"123","MDG","AFRO","AFRO D","Sub-Saharan Africa","Low income"
"124","MDV","SEARO","SEARO D","South Asia","Upper middle income"
"125","MEX","PAHO","AMRO B","Latin America & Caribbean","Upper middle income"
"126","MHL","WPRO","WPRO B","East Asia & Pacific","Upper middle income"
"127","MKD","EURO","EURO B","Europe & Central Asia","Upper middle income"
"128","MLI","AFRO","AFRO D","Sub-Saharan Africa","Low income"
"129","MLT","EURO","EURO A","Middle East & North Africa","High income"
"130","MMR","SEARO","SEARO D","East Asia & Pacific","Lower middle income"
"131","MNE","EURO","EURO B","Europe & Central Asia","Upper middle income"
"132","MNG","WPRO","WPRO B","East Asia & Pacific","Lower middle income"
"134","MOZ","AFRO","AFRO E","Sub-Saharan Africa","Low income"
"135","MRT","AFRO","AFRO D","Sub-Saharan Africa","Lower middle income"
"136","MUS","AFRO","AFRO D","Sub-Saharan Africa","Upper middle income"
"137","MWI","AFRO","AFRO E","Sub-Saharan Africa","Low income"
"138","MYS","WPRO","WPRO B","East Asia & Pacific","Upper middle income"
"139","NAM","AFRO","AFRO E","Sub-Saharan Africa","Upper middle income"
"141","NER","AFRO","AFRO D","Sub-Saharan Africa","Low income"
"142","NGA","AFRO","AFRO D","Sub-Saharan Africa","Lower middle income"
"143","NIC","PAHO","AMRO D","Latin America & Caribbean","Lower middle income"
"144","NIU","WPRO","WPRO B",NA,NA
"145","NLD","EURO","EURO A","Europe & Central Asia","High income"
"146","NOR","EURO","EURO A","Europe & Central Asia","High income"
"147","NPL","SEARO","SEARO D","South Asia","Low income"
"148","NRU","WPRO","WPRO B","East Asia & Pacific","Upper middle income"
"149","NZL","WPRO","WPRO A","East Asia & Pacific","High income"
"150","OMN","EMRO","EMRO E","Middle East & North Africa","High income"
"151","PAK","EMRO","EMRO D","South Asia","Lower middle income"
"152","PAN","PAHO","AMRO B","Latin America & Caribbean","High income"
"153","PER","PAHO","AMRO D","Latin America & Caribbean","Upper middle income"
"154","PHL","WPRO","WPRO B","East Asia & Pacific","Lower middle income"
"155","PLW","WPRO","WPRO B","East Asia & Pacific","High income"
"156","PNG","WPRO","WPRO B","East Asia & Pacific","Lower middle income"
"157","POL","EURO","EURO B","Europe & Central Asia","High income"
"159","PRK","SEARO","SEARO D","East Asia & Pacific","Low income"
"160","PRT","EURO","EURO A","Europe & Central Asia","High income"
"161","PRY","PAHO","AMRO B","Latin America & Caribbean","Upper middle income"
"164","QAT","EMRO","EMRO E","Middle East & North Africa","High income"
"165","ROU","EURO","EURO B","Europe & Central Asia","Upper middle income"
"166","RUS","EURO","EURO C","Europe & Central Asia","Upper middle income"
"167","RWA","AFRO","AFRO E","Sub-Saharan Africa","Low income"
"168","SAU","EMRO","EMRO E","Middle East & North Africa","High income"
"169","SDN","EMRO","EMRO D","Sub-Saharan Africa","Lower middle income"
"170","SEN","AFRO","AFRO D","Sub-Saharan Africa","Lower middle income"
"171","SGP","WPRO","WPRO A","East Asia & Pacific","High income"
"172","SLB","WPRO","WPRO B","East Asia & Pacific","Lower middle income"
"173","SLE","AFRO","AFRO D","Sub-Saharan Africa","Low income"
"174","SLV","PAHO","AMRO B","Latin America & Caribbean","Lower middle income"
"175","SMR","EURO","EURO A","Europe & Central Asia","High income"
"176","SOM","EMRO","EMRO D","Sub-Saharan Africa","Low income"
"177","SRB","EURO","EURO B","Europe & Central Asia","Upper middle income"
"178","SSD","EMRO",NA,"Sub-Saharan Africa","Low income"
"179","STP","AFRO","AFRO D",NA,NA
"180","SUR","PAHO","AMRO B","Latin America & Caribbean","Upper middle income"
"181","SVK","EURO","EURO B","Europe & Central Asia","High income"
"182","SVN","EURO","EURO A","Europe & Central Asia","High income"
"183","SWE","EURO","EURO A","Europe & Central Asia","High income"
"184","SWZ","AFRO","AFRO E","Sub-Saharan Africa","Lower middle income"
"186","SYC","AFRO","AFRO D","Sub-Saharan Africa","High income"
"187","SYR","EMRO","EMRO E","Middle East & North Africa","Low income"
"189","TCD","AFRO","AFRO D","Sub-Saharan Africa","Low income"
"190","TGO","AFRO","AFRO D","Sub-Saharan Africa","Low income"
"191","THA","SEARO","SEARO B","East Asia & Pacific","Upper middle income"
"192","TJK","EURO","EURO B","Europe & Central Asia","Low income"
"193","TKM","EURO","EURO B","Europe & Central Asia","Upper middle income"
"194","TLS","SEARO","SEARO B","East Asia & Pacific","Lower middle income"
"195","TON","WPRO","WPRO B","East Asia & Pacific","Upper middle income"
"196","TTO","PAHO","AMRO B","Latin America & Caribbean","High income"
"197","TUN","EMRO","EMRO E","Middle East & North Africa","Lower middle income"
"198","TUR","EURO","EURO B","Europe & Central Asia","Upper middle income"
"199","TUV","WPRO","WPRO B","East Asia & Pacific","Upper middle income"
"201","TZA","AFRO","AFRO E","Sub-Saharan Africa","Low income"
"202","UGA","AFRO","AFRO E","Sub-Saharan Africa","Low income"
"203","UKR","EURO","EURO C","Europe & Central Asia","Lower middle income"
"204","URY","PAHO","AMRO B","Latin America & Caribbean","High income"
"205","USA","PAHO","AMRO A","North America","High income"
"206","UZB","EURO","EURO B","Europe & Central Asia","Lower middle income"
"207","VCT","PAHO","AMRO B","Latin America & Caribbean","Upper middle income"
"208","VEN","PAHO","AMRO B","Latin America & Caribbean","Upper middle income"
"211","VNM","WPRO","WPRO B","East Asia & Pacific","Lower middle income"
"212","VUT","WPRO","WPRO B","East Asia & Pacific","Lower middle income"
"213","WSM","WPRO","WPRO B","East Asia & Pacific","Upper middle income"
"214","YEM","EMRO","EMRO D","Middle East & North Africa","Low income"
"215","ZAF","AFRO","AFRO E","Sub-Saharan Africa","Upper middle income"
"216","ZMB","AFRO","AFRO E","Sub-Saharan Africa","Lower middle income"
"217","ZWE","AFRO","AFRO E","Sub-Saharan Africa","Lower middle income"
