"","iso3c","year","country.x","who.region","whoc.region","wb.region","Income.group","missing_flag.x","basecase_Y.2019usd","basecase_Y_PC.2019usd","missing_flag.y","sc1_ecoli_Y.2019usd","sc1_ecoli_Y_PC.2019usd","missing_flag.x.x","sc2_ecoli_Y.2019usd","sc2_ecoli_Y_PC.2019usd","missing_flag.y.y","sc1_saureus_Y.2019usd","sc1_saureus_Y_PC.2019usd","missing_flag","sc2_saureus_Y.2019usd","sc2_saureus_Y_PC.2019usd"
"1","AFG",2019,"AFG","EMRO","EMRO D","South Asia","Low income",1,22980143593.6429,604.076867581946,1,22980143593.6429,604.076867581946,1,22980143593.6429,604.076867581946,1,22980143593.6429,604.076867581946,1,22980143593.6429,604.076867581946
"2","AFG",2020,"AFG","EMRO","EMRO D","South Asia","Low income",1,23986834550.7434,616.184611352841,1,23986367770.3212,616.184568489272,1,23985420064.612,616.184481458034,1,23986559658.0822,616.184586112237,1,23985918241.8711,616.184527215211
"3","AFG",2021,"AFG","EMRO","EMRO D","South Asia","Low income",1,25034702167.4245,628.45995148549,1,25034216144.4686,628.459871021053,1,25033229370.5816,628.459707644142,1,25034415942.5462,628.459904103269,1,25033748084.4937,628.459793540491
"4","AFG",2022,"AFG","EMRO","EMRO D","South Asia","Low income",1,26166606570.2575,642.062290088273,1,26166099634.7946,642.062163577283,1,26165070402.1773,642.061906706447,1,26166308029.6961,642.062215591113,1,26165611435.0482,642.062041757748
"5","AFG",2023,"AFG","EMRO","EMRO D","South Asia","Low income",1,27380884471.7609,656.915248476785,1,27380354992.5294,656.91506927748,1,27379279989.2261,656.9147054272,1,27380572654.8482,656.915142953621,1,27379845082.0451,656.914896723529
"6","AFG",2024,"AFG","EMRO","EMRO D","South Asia","Low income",1,28669314318.0195,672.846448356439,1,28668760840.2265,672.846213037617,1,28667637112.5655,672.845735241168,1,28668988368.0107,672.846309786774,1,28668227817.9812,672.84598644531
"7","AFG",2025,"AFG","EMRO","EMRO D","South Asia","Low income",1,30029224630.3531,689.819549534897,1,30028645768.0441,689.819256471824,1,30027470502.1167,689.818661430361,1,30028883731.0427,689.819376961989,1,30028088299.3064,689.818974276694
"8","AFG",2026,"AFG","EMRO","EMRO D","South Asia","Low income",1,31446312289.7997,707.469510895626,1,31445707092.6344,707.469164829171,1,31444478358.9612,707.468462168687,1,31445955881.5129,707.469307111179,1,31445124262.1618,707.468831596286
"9","AFG",2027,"AFG","EMRO","EMRO D","South Asia","Low income",1,32957028531.122,726.501819308746,1,32956395177.6804,726.501417393041,1,32955109278.2258,726.500601335266,1,32956655541.2024,726.501582636942,1,32955785231.3714,726.501030382082
"10","AFG",2028,"AFG","EMRO","EMRO D","South Asia","Low income",1,34574780796.2226,747.158958319234,1,34574117157.1122,747.158496083554,1,34572769768.563,747.157557551089,1,34574389970.6475,747.158686127443,1,34573478044.2826,747.158050989605
"11","AFG",2029,"AFG","EMRO","EMRO D","South Asia","Low income",1,36323618843.855,769.812839755326,1,36322922260.7679,769.812309977713,1,36321507985.9522,769.811234307021,1,36323208617.1197,769.812527790827,1,36322251421.3764,769.811799846659
